Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,,,,symbol
APEI,"American Public Education, Inc.",28.01,$449.74M,2007,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apei,,,,apei
ARII,"American Railcar Industries, Inc.",38.65,$756.04M,2006,Capital Goods,Railroads,http://www.nasdaq.com/symbol/arii,,,,arii
AMRB,American River Bankshares,10.76,$73.17M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amrb,,,,amrb
ASEI,"American Science and Engineering, Inc.",32.24,$229.93M,n/a,Health Care,Medical Electronics,http://www.nasdaq.com/symbol/asei,,,,asei
AMSWA,"American Software, Inc.",9.77,$281.85M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/amswa,,,,amswa
AMSC,American Superconductor Corporation,8.66,$121.64M,1991,Consumer Durables,Metal Fabrications,http://www.nasdaq.com/symbol/amsc,,,,amsc
AMWD,American Woodmark Corporation,69.79,$1.14B,1986,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/amwd,,,,amwd
CRMT,"America&#39;s Car-Mart, Inc.",23.8,$193.76M,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/crmt,,,,crmt
ABCB,Ameris Bancorp,31.32,$1.09B,1994,Finance,Major Banks,http://www.nasdaq.com/symbol/abcb,,,,abcb
AMSF,"AMERISAFE, Inc.",62.06,$1.19B,2005,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/amsf,,,,amsf
ASRV,AmeriServ Financial Inc.,3.0801,$58.2M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrv,,,,asrv
ASRVP,AmeriServ Financial Inc.,27.95,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrvp,,,,asrvp
ATLO,Ames National Corporation,24.93,$232.12M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/atlo,,,,atlo
AMGN,Amgen Inc.,159.19,$119.59B,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/amgn,,,,amgn
FOLD,"Amicus Therapeutics, Inc.",7.17,$910.95M,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fold,,,,fold
AMKR,"Amkor Technology, Inc.",6.39,$1.52B,1998,Technology,Semiconductors,http://www.nasdaq.com/symbol/amkr,,,,amkr
AMPH,"Amphastar Pharmaceuticals, Inc.",15.78,$707.66M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amph,,,,amph
IBUY,Amplify Online Retail ETF,24.93,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ibuy,,,,ibuy
AMSG,Amsurg Corp.,74.58,$4.09B,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amsg,,,,amsg
AMSGP,Amsurg Corp.,142.41,$245.66M,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amsgp,,,,amsgp
ASYS,"Amtech Systems, Inc.",6.79,$89.45M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asys,,,,asys
AFSI,"AmTrust Financial Services, Inc.",26.39,$4.59B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afsi,,,,afsi
AMRS,"Amyris, Inc.",0.5351,$113M,2010,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amrs,,,,amrs
ANAC,"Anacor Pharmaceuticals, Inc.",99.3,$4.5B,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anac,,,,anac
ADI,"Analog Devices, Inc.",58.11,$17.86B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/adi,,,,adi
ALOG,Analogic Corporation,82.99,$1.03B,1972,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/alog,,,,alog
AVXL,Anavex Life Sciences Corp.,4.55,$162.48M,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/avxl,,,,avxl
ANCB,Anchor Bancorp,24,$58.91M,2011,Finance,Banks,http://www.nasdaq.com/symbol/ancb,,,,ancb
