,index,station.id,station.name,latitude,longitude,boroname,boro
231,232,303,Mercer St & Spring St,40.72362738,-73.99949601,Manhattan,Manhattan
232,233,328,Watts St & Greenwich St,40.72405549,-74.00965965,Manhattan,Manhattan
233,234,2004,6 Ave & Broome St,40.724399,-74.004704,Manhattan,Manhattan
234,235,2004,6 Ave & Broome St,40.724399,-74.004704,Manhattan,Manhattan
235,236,317,E 6 St & Avenue B,40.72453734,-73.98185424,Manhattan,Manhattan
236,237,317,E 6 St & Avenue B,40.72453734,-73.98185424,Manhattan,Manhattan
237,238,250,Lafayette St & Jersey St,40.72456089,-73.99565293,Manhattan,Manhattan
238,239,428,E 3 St & 1 Ave,40.72467721,-73.98783413,Manhattan,Manhattan
239,240,428,E 3 St & 1 Ave,40.72467721,-73.98783413,Manhattan,Manhattan
240,241,428,E 3 St & 1 Ave,40.72467721,-73.98783413,Manhattan,Manhattan
241,242,428,E 3 St & 1 Ave,40.72467721,-73.98783413,Manhattan,Manhattan
242,243,348,W Broadway & Spring St,40.72490985,-74.00154702,Manhattan,Manhattan
243,244,348,W Broadway & Spring St,40.72490985,-74.00154702,Manhattan,Manhattan
244,245,403,E 2 St & 2 Ave,40.72502876,-73.99069656,Manhattan,Manhattan
245,246,403,E 2 St & 2 Ave,40.72502876,-73.99069656,Manhattan,Manhattan
246,247,403,E 2 St & 2 Ave,40.72502876,-73.99069656,Manhattan,Manhattan
247,248,403,E 2 St & 2 Ave,40.72502876,-73.99069656,Manhattan,Manhattan
248,249,3108,Nassau Ave & Russell St,40.72557,-73.94434,Manhattan,Brooklyn
249,250,3111,Norman Ave & Leonard St,40.7258483,-73.95064893,Manhattan,Brooklyn
250,251,432,E 7 St & Avenue A,40.72621788,-73.98379855,Manhattan,Manhattan
251,252,432,E 7 St & Avenue A,40.72621788,-73.98379855,Manhattan,Manhattan
252,253,432,E 7 St & Avenue A,40.72621788,-73.98379855,Manhattan,Manhattan
253,254,432,E 7 St & Avenue A,40.72621788,-73.98379855,Manhattan,Manhattan
254,255,432,E 7 St & Avenue A,40.72621788,-73.98379855,Manhattan,Manhattan
255,256,432,E 7 St & Avenue A,40.72622,-73.9838,Manhattan,Manhattan
256,257,439,E 4 St & 2 Ave,40.7262807,-73.98978041,Manhattan,Manhattan
257,258,439,E 4 St & 2 Ave,40.7262807,-73.98978041,Manhattan,Manhattan
258,259,375,Mercer St & Bleecker St,40.72679454,-73.99695094,Manhattan,Manhattan
259,260,375,Mercer St & Bleecker St,40.72679454,-73.99695094,Manhattan,Manhattan
260,261,375,Mercer St & Bleecker St,40.72679454,-73.99695094,Manhattan,Manhattan
261,262,128,MacDougal St & Prince St,40.72710258,-74.00297088,Manhattan,Manhattan
262,263,128,MacDougal St & Prince St,40.72710258,-74.00297088,Manhattan,Manhattan
263,264,445,E 10 St & Avenue A,40.72740794,-73.98142006,Manhattan,Manhattan
264,265,229,Great Jones St,40.72743423,-73.99379025,Manhattan,Manhattan
