,station.id,station.name,latitude,longitude,year,index,boro
95,310,State St & Smith St,40.68926942,-73.98912867,2013,96,Brooklyn
96,311,Norfolk St & Broome St,40.7172274,-73.98802084,2013,97,Manhattan
97,312,Allen St & E Houston St,40.722055,-73.989111,2013,98,Manhattan
98,313,Washington Ave & Park Ave,40.69610226,-73.96751037,2013,99,Kings County
99,314,Cadman Plaza West & Montague St,40.69383,-73.990539,2013,100,Kings County
100,315,South St & Gouverneur Ln,40.70355377,-74.00670227,2013,101,New York
101,316,Fulton St & William St,40.70955958,-74.00653609,2013,102,Manhattan
102,317,E 6 St & Avenue B,40.72453734,-73.98185424,2013,103,Manhattan
103,319,Fulton St & Broadway,40.711066,-74.009447,2013,104,New York
104,320,Leonard St & Church St,40.717571,-74.005549,2013,105,Manhattan
105,321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,2013,106,Brooklyn
106,322,Clinton St & Tillary St,40.696192,-73.991218,2013,107,Kings County
107,323,Lawrence St & Willoughby St,40.69236178,-73.98631746,2013,108,Brooklyn
108,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,2013,109,Kings County
109,325,E 19 St & 3 Ave,40.73624527,-73.98473765,2013,110,Manhattan
110,326,E 11 St & 1 Ave,40.72953837,-73.98426726,2013,111,Manhattan
111,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,2013,112,Manhattan
112,328,Watts St & Greenwich St,40.72405549,-74.00965965,2013,113,Manhattan
113,329,Greenwich St & N Moore St,40.72043411,-74.01020609,2013,114,Manhattan
114,330,Reade St & Broadway,40.71450451,-74.00562789,2013,115,Manhattan
115,331,Pike St & Monroe St,40.71173107,-73.99193043,2013,116,Manhattan
116,332,Cherry St,40.71219906,-73.97948148,2013,117,Manhattan
117,334,W 20 St & 7 Ave,40.74238787,-73.99726235,2013,118,Manhattan
118,335,Washington Pl & Broadway,40.72903917,-73.99404649,2013,119,New York
119,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,2013,120,Manhattan
120,337,Old Slip & Front St,40.7037992,-74.00838676,2013,121,New York
121,339,Avenue D & E 12 St,40.72580614,-73.97422494,2013,122,East Village
122,340,Madison St & Clinton St,40.71269042,-73.98776323,2013,123,Manhattan
123,341,Stanton St & Mangin St,40.71782143,-73.97628939,2013,124,New York
124,342,Columbia St & Rivington St,40.71739973,-73.98016555,2013,125,NY
125,343,Clinton Ave & Flushing Ave,40.69794,-73.96986848,2013,126,Kings County
126,344,Monroe St & Bedford Ave,40.6851443,-73.95380904,2013,127,Brooklyn
127,345,W 13 St & 6 Ave,40.73649403,-73.99704374,2013,128,Manhattan
128,346,Bank St & Hudson St,40.73652889,-74.00618026,2013,129,Manhattan
129,347,Greenwich St & W Houston St,40.728846,-74.008591,2013,130,Manhattan
130,348,W Broadway & Spring St,40.72490985,-74.00154702,2013,131,Manhattan
131,349,Rivington St & Ridge St,40.71850211,-73.98329859,2013,132,Manhattan
132,350,Clinton St & Grand St,40.71559509,-73.9870295,2013,133,Manhattan
133,351,Front St & Maiden Ln,40.70530954,-74.00612572,2013,134,Manhattan
134,352,W 56 St & 6 Ave,40.76340613,-73.97722479,2013,135,Manhattan
135,353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,2013,136,Brooklyn
136,354,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,2013,137,Brooklyn
137,355,Bayard St & Baxter St,40.71602118,-73.99974372,2013,138,Manhattan
138,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,2013,139,Manhattan
139,357,E 11 St & Broadway,40.73261787,-73.99158043,2013,140,Manhattan
140,358,Christopher St & Greenwich St,40.73291553,-74.00711384,2013,141,Manhattan
