,index,duration,distance
175,7406.0,1568.0,6402.0
176,7407.0,258.0,855.0
177,7408.0,385.0,1738.0
178,7409.0,1154.0,4417.0
179,7410.0,370.0,1584.0
180,7411.0,479.0,2091.0
181,7412.0,721.0,2874.0
182,7413.0,728.0,3872.0
183,7414.0,320.0,1466.0
184,7415.0,754.0,2866.0
185,7416.0,829.0,3141.0
186,7417.0,534.0,1976.0
187,7418.0,726.0,3797.0
188,7419.0,366.0,1786.0
189,7420.0,1234.0,5167.0
190,7421.0,553.0,1755.0
191,7422.0,1402.0,5670.0
192,7423.0,261.0,867.0
193,7424.0,612.0,2356.0
194,7425.0,366.0,1194.0
195,7426.0,612.0,2356.0
196,7427.0,205.0,750.0
197,7428.0,490.0,1966.0
198,7429.0,479.0,1878.0
199,7430.0,391.0,1354.0
200,7431.0,490.0,1966.0
201,7432.0,205.0,750.0
202,7433.0,261.0,867.0
203,7434.0,1283.0,5469.0
204,7435.0,1283.0,5469.0
205,7436.0,1283.0,5469.0
206,7437.0,353.0,1602.0
207,7438.0,391.0,1354.0
208,7439.0,292.0,1129.0
209,7440.0,114.0,441.0
210,7447.0,342.0,1308.0
211,7448.0,1324.0,5521.0
212,7449.0,553.0,2534.0
213,7450.0,354.0,1302.0
214,7451.0,747.0,3013.0
215,7452.0,304.0,667.0
216,7453.0,496.0,1858.0
217,7454.0,566.0,2210.0
218,7455.0,301.0,1106.0
219,7456.0,304.0,667.0
220,7457.0,538.0,2051.0
221,7458.0,509.0,1874.0
222,7459.0,497.0,2384.0
223,7460.0,301.0,1106.0
224,7461.0,437.0,1893.0
225,7462.0,1374.0,7197.0
226,7463.0,486.0,1984.0
227,7464.0,566.0,2210.0
228,7465.0,1346.0,6932.0
229,7466.0,277.0,1143.0
230,7467.0,289.0,1020.0
231,7468.0,229.0,781.0
232,7469.0,158.0,406.0
233,7470.0,343.0,1363.0
234,7471.0,573.0,2335.0
235,7472.0,351.0,1146.0
236,7473.0,304.0,667.0
237,7474.0,343.0,1363.0
238,7475.0,301.0,1363.0
239,7476.0,351.0,1146.0
240,7477.0,1589.0,6911.0
241,7478.0,808.0,3241.0
242,7479.0,978.0,4113.0
243,7480.0,373.0,1601.0
244,7481.0,375.0,1516.0
245,7482.0,460.0,1861.0
246,7483.0,311.0,1513.0
247,7484.0,158.0,406.0
248,7485.0,810.0,3256.0
249,7486.0,233.0,982.0
250,7487.0,490.0,2328.0
251,7488.0,375.0,1516.0
252,7489.0,360.0,1499.0
253,7490.0,460.0,1861.0
254,7491.0,1644.0,7064.0
255,7492.0,1179.0,5254.0
256,7493.0,532.0,2515.0
257,7494.0,1600.0,7256.0
258,7495.0,841.0,3738.0
259,7496.0,489.0,2289.0
260,7497.0,532.0,2515.0
261,7498.0,517.0,2427.0
262,7499.0,414.0,1712.0
263,7500.0,233.0,982.0
264,7501.0,401.0,1670.0
265,7502.0,820.0,3272.0
266,7503.0,294.0,1248.0
267,7504.0,414.0,1712.0
268,7505.0,194.0,894.0
269,7506.0,820.0,3272.0
270,7507.0,416.0,1855.0
271,7508.0,229.0,781.0
272,7509.0,340.0,1429.0
273,7510.0,1248.0,5611.0
274,7511.0,368.0,1479.0
275,7512.0,434.0,1825.0
276,7513.0,758.0,3025.0
277,7514.0,301.0,1363.0
278,7515.0,585.0,2573.0
279,7516.0,489.0,2289.0
280,7517.0,272.0,997.0
281,7518.0,200.0,651.0
282,7519.0,1171.0,5398.0
283,7520.0,523.0,2481.0
284,7521.0,531.0,2139.0
285,7522.0,289.0,1020.0
286,7523.0,414.0,1712.0
287,7524.0,340.0,1429.0
288,7525.0,521.0,2358.0
289,7526.0,1181.0,4912.0
290,7527.0,273.0,1104.0
291,7528.0,523.0,2481.0
292,7529.0,510.0,2386.0
293,7530.0,401.0,1670.0
294,7531.0,273.0,1104.0
295,7532.0,774.0,3272.0
296,7533.0,414.0,1712.0
297,7534.0,1566.0,6583.0
298,7535.0,343.0,1363.0
